date,portfolio_value,spy_value,cash,n_positions,regime
2009-02-12,1048688.6529380123,619208.5843352039,0.0,10,bear
2009-02-13,1049274.0562081938,612547.1505667771,0.0,10,bear
2009-02-17,999651.4568347906,586345.9397512343,0.0,9,bear
2009-02-18,993066.6241295199,584939.4796297769,0.0,10,bear
2009-02-19,976924.2798873136,578648.2196351043,0.0,10,bear
2009-02-20,966341.3509954787,573023.3802433166,0.0,9,bear
2009-02-23,925634.253731669,552521.3593039716,0.0,10,bear
2009-02-24,963979.5257614532,573467.1729327581,0.0,11,bear
2009-02-25,953691.296490486,568952.546833297,0.0,11,bear
2009-02-26,921140.0405120512,559700.5512100802,0.0,11,bear
2009-02-27,906397.2912535329,547191.6886400392,0.0,12,bear
2009-03-02,839446.95849077,522544.8688424342,0.0,11,bear
2009-03-03,855325.7567560757,518622.3128614479,0.0,11,bear
2009-03-04,894543.105944706,530908.8555469812,0.0,11,bear
2009-03-05,860150.0527606776,509222.46334898454,0.0,11,bear
2009-03-06,857979.729306416,510110.3952604204,0.0,11,bear
2009-03-09,854115.896978881,504115.34359126166,0.0,11,bear
2009-03-10,925108.2599787636,534165.3759612525,0.0,11,bear
2009-03-11,935271.910222499,537644.2547636483,0.0,11,bear
2009-03-12,967165.3663049196,558812.5422914104,0.0,11,bear
2009-03-13,966775.030532718,563179.314501625,0.0,11,bear
2009-03-16,950175.9113916116,561477.0695944406,0.0,11,bear
2009-03-17,975522.1403938326,578648.2196351043,0.0,11,bear
2009-03-18,1005382.164428816,591600.8363909697,0.0,11,bear
2009-03-19,1004981.1398672693,584273.5595739129,0.0,11,bear
2009-03-20,982871.9001615307,571831.6932974367,0.0,11,bear
2009-03-23,1083303.3755214182,612906.1582916038,0.0,11,bear
2009-03-24,1062167.6411076132,600829.9223620768,0.0,11,bear
2009-03-25,1088275.4323176127,607166.3470994802,0.0,11,bear
2009-03-26,1141372.2017551733,619540.3700028177,0.0,11,bear
2009-03-27,1109112.2812896718,608358.650103232,0.0,11,bear
2009-03-30,1058029.6098445817,587337.2538742917,0.0,11,bear
2009-03-31,1080996.4236750943,592779.0085672858,0.0,11,bear
2009-04-01,1086019.327625244,604258.5924479159,0.0,11,bear
2009-04-02,1132190.8384498775,621926.0541115972,0.0,11,bear
2009-04-03,1144878.2132216478,628112.9308006065,0.0,11,bear
2009-04-06,1128253.4302306236,623193.1696431631,0.0,11,bear
2009-04-07,1099264.4740728282,608656.9376240635,0.0,11,bear
2009-04-08,1119067.2274067455,615216.9913689522,0.0,11,bear
2009-04-09,1173501.2854702303,639667.4812235187,0.0,11,bear
2009-04-13,1170517.1542970906,639816.528724892,0.0,11,bear
2009-04-14,1144041.0019962145,628784.1258519985,0.0,11,bear
2009-04-15,1151595.1331622708,635492.8420620905,0.0,11,bear
2009-04-16,1167856.3832410083,644811.1409137663,0.0,11,bear
2009-04-17,1178408.2580659913,649135.1741091206,0.0,11,bear
2009-04-20,1115628.3005973166,621926.0541115972,0.0,11,bear
2009-04-21,1139180.5202381087,634076.4095038323,0.0,11,bear
2009-04-22,1145094.3961242253,630200.4428994055,0.0,11,bear
2009-04-23,1161798.447111916,636387.4350992658,0.0,11,bear
2009-04-24,1202117.5981631957,646003.6749392201,0.0,11,bear
2009-04-27,1189051.896739945,639891.4182599399,0.0,11,bear
2009-04-28,1174053.9602957466,637878.410660019,0.0,11,bear
2009-04-29,1207362.211592793,651445.6991575331,0.0,11,bear
2009-04-30,1251099.9352168536,651669.4051722524,0.0,11,bear
2009-05-01,1262728.3386586371,655172.5412533528,0.0,11,bear
2009-05-04,1308293.5094925093,677461.515057263,0.0,11,bear
2009-05-05,1287906.5910192796,675150.7589871485,0.0,11,bear
2009-05-06,1314482.1533492159,686854.241400583,0.0,11,bear
2009-05-07,1283212.0401928818,677312.8140884427,0.0,11,bear
2009-05-08,1306219.3194530716,693116.0076246402,0.0,11,bear
2009-05-11,1292862.9239818875,680144.986139853,0.0,11,bear
2009-05-12,1292889.5800828012,678132.479086953,0.0,11,bear
2009-05-13,1228856.5994818155,661061.9004938705,0.0,11,bear
2009-05-14,1239692.2679854482,666727.4767124349,0.0,11,bear
2009-05-15,1226127.020543812,661285.2984796539,0.0,11,bear
2009-05-18,1275758.3470201506,680070.8281735278,0.0,11,bear
2009-05-19,1283969.732066918,679250.8551460815,0.0,11,bear
2009-05-20,1297393.4847071208,674703.5009721778,0.0,11,bear
2009-05-21,1265090.733829759,665012.7566333454,0.0,11,bear
2009-05-22,1269931.0083590802,663596.0545497683,0.0,11,bear
2009-05-26,1302450.1417850286,680592.4751765257,0.0,11,bear
2009-05-27,1284157.357884574,668441.6577408866,0.0,11,bear
2009-05-28,1307773.6963329096,677759.8410817113,0.0,11,bear
2009-05-29,1332327.5910479233,689761.6495195943,0.0,11,bear
2009-06-01,1380949.324775623,706459.3590857332,0.0,11,bear
2009-06-02,1394590.8774219868,707056.01113463,0.0,11,bear
2009-06-03,1366122.899439727,698110.5428062807,0.0,11,bear
2009-06-04,1390873.719505521,704670.4040330845,0.0,11,bear
2009-06-05,1402104.86765026,704819.3360236067,0.0,11,bear
2009-06-08,1392384.3562778204,701912.5439624673,0.0,11,bear
2009-06-09,1418112.6857600356,705490.6080822326,0.0,11,bear
2009-06-10,1410007.448261145,703701.1909861801,0.0,11,bear
2009-06-11,1420880.1548326046,706832.1511054427,0.0,11,bear
2009-06-12,1408990.4044110815,708770.1921630816,0.0,11,bear
2009-06-15,1355796.7266258916,692519.7406119134,0.0,11,bear
2009-06-16,1335474.277143779,683127.0142685934,0.0,11,bear
2009-06-17,1325858.7350278334,682456.1272461374,0.0,11,bear
2009-06-18,1339057.549299469,687450.5854205438,0.0,11,bear
2009-06-19,1347727.7822471324,689984.3544402717,0.0,11,bear
2009-06-22,1262310.4252622547,669294.1278210734,0.0,11,bear
2009-06-23,1270805.9305708555,669818.7781061966,0.0,11,bear
2009-06-24,1284291.7053222044,675591.2403655287,0.0,11,bear
2009-06-25,1301927.3986988228,690284.1436021659,0.0,11,bear
2009-06-26,1303153.2593832437,688485.1776090994,0.0,11,bear
2009-06-29,1297715.7962906985,694932.6082742887,0.0,11,bear
2009-06-30,1289861.5904342495,689309.9250850526,0.0,11,bear
2009-07-01,1279747.611731814,692158.6536917691,0.0,11,bear
2009-07-02,1248377.6300476897,673267.3160584032,0.0,11,bear
2009-07-06,1229221.1635264058,673192.1569980362,0.0,11,bear
2009-07-07,1185439.7769754685,660148.3636771354,0.0,11,bear
2009-07-08,1182019.3206761032,659698.3334017415,0.0,11,bear
2009-07-09,1190148.1489079064,660972.8801313867,0.0,11,bear
2009-07-10,1181865.3646804322,659398.6212470813,0.0,11,bear
2009-07-13,1216183.8091922773,675441.2302737307,0.0,11,bear
2009-07-14,1213070.2477984729,679264.3314120285,0.0,11,normal
2009-07-15,1261704.3028763153,699130.5036203796,0.0,11,normal
2009-07-16,1281413.8669045472,698005.9669825324,0.0,11,normal
2009-07-17,1276323.6744699916,705652.40028083,0.0,11,normal
2009-07-20,1302673.8543120618,713148.9775017976,0.0,12,normal
2009-07-21,1314073.497339345,716447.6593766742,0.0,12,normal
2009-07-22,1303895.8994624787,716297.7262921102,0.0,12,normal
2009-07-23,1349578.0234334096,732115.2431738285,0.0,12,normal
2009-07-24,1356411.2832961234,735113.9048651091,0.0,12,normal
2009-07-27,1358764.707032682,737287.8960876706,0.0,12,normal
2009-07-28,1350191.4482552002,733839.2811282299,0.0,12,normal
2009-07-29,1335912.5917264796,732040.3151351635,0.0,12,normal
2009-07-30,1356899.9828204433,739686.979455163,0.0,12,normal
2009-07-31,1342934.8476229953,740736.5880543452,0.0,12,normal
2009-08-03,1373110.273194548,752955.7879137609,0.0,12,normal
2009-08-04,1358662.3979051071,754904.7639986253,0.0,12,normal
2009-08-05,1348574.3324370862,752730.8497832979,0.0,12,normal
2009-08-06,1333696.2334855832,748832.743599101,0.0,12,normal
2009-08-07,1363311.7368259267,758653.014105492,0.0,12,normal
