date,type,aum,rate,fee,hwm,nav_pre_fee,hwm_pre,profit_above_hwm,hwm_post
2017-08-01,management,4236865.216445097,0.0016666666666666668,7061.442027408495,4481276.030123051,,,,
2017-09-01,management,4211857.965609864,0.0016666666666666668,7019.763276016441,4481276.030123051,,,,
2017-10-02,management,4526704.858613798,0.0016666666666666668,7544.508097689664,4481276.030123051,,,,
2017-10-02,performance,,0.25,9471.080098264385,,4519160.350516109,4481276.030123051,37884.32039305754,4509689.270417845
2017-11-01,management,4312195.104749477,0.0016666666666666668,7186.991841249128,4509689.270417845,,,,
2017-12-01,management,4549914.281439837,0.0016666666666666668,7583.190469066396,4509689.270417845,,,,
2018-01-02,management,4620725.841192675,0.0016666666666666668,7701.209735321125,4509689.270417845,,,,
2018-01-02,performance,,0.25,25833.840259877266,,4613024.631457354,4509689.270417845,103335.36103950907,4587190.791197476
2018-02-01,management,5067370.257794218,0.0016666666666666668,8445.617096323698,4587190.791197476,,,,
2018-03-01,management,4943344.573244568,0.0016666666666666668,8238.90762207428,4587190.791197476,,,,
2018-04-02,management,4933123.061130875,0.0016666666666666668,8221.871768551458,4587190.791197476,,,,
2018-04-02,performance,,0.25,84427.59954121173,,4924901.189362323,4587190.791197476,337710.39816484693,4840473.589821111
2018-05-01,management,5083247.104192458,0.0016666666666666668,8472.078506987431,4840473.589821111,,,,
2018-06-01,management,5191022.457647861,0.0016666666666666668,8651.70409607977,4840473.589821111,,,,
2018-07-02,management,5587921.486950627,0.0016666666666666668,9313.202478251045,4840473.589821111,,,,
2018-07-02,performance,,0.25,184533.67366281594,,5578608.284472375,4840473.589821111,738134.6946512638,5394074.610809559
2018-08-01,management,5287159.830515741,0.0016666666666666668,8811.93305085957,5394074.610809559,,,,
2018-09-04,management,5730585.822785602,0.0016666666666666668,9550.976371309338,5394074.610809559,,,,
2018-10-01,management,5652813.76673756,0.0016666666666666668,9421.356277895933,5394074.610809559,,,,
2018-10-01,performance,,0.25,62329.44991252641,,5643392.410459665,5394074.610809559,249317.79965010565,5581062.960547138
2018-11-01,management,5190598.8831464425,0.0016666666666666668,8650.998138577404,5581062.960547138,,,,
2018-12-03,management,5491708.513845761,0.0016666666666666668,9152.847523076269,5581062.960547138,,,,
2019-01-02,management,4802635.201447603,0.0016666666666666668,8004.392002412673,5581062.960547138,,,,
2019-01-02,performance,,0.25,0.0,,4794630.809445191,5581062.960547138,0.0,5581062.960547138
2019-02-01,management,5483838.903585484,0.0016666666666666668,9139.731505975808,5581062.960547138,,,,
2019-03-01,management,5271006.109064194,0.0016666666666666668,8785.010181773658,5581062.960547138,,,,
2019-04-01,management,5343350.840393226,0.0016666666666666668,8905.58473398871,5581062.960547138,,,,
2019-04-01,performance,,0.25,0.0,,5334445.255659237,5581062.960547138,0.0,5581062.960547138
2019-05-01,management,5728139.445578803,0.0016666666666666668,9546.899075964673,5581062.960547138,,,,
2019-06-03,management,5652617.794334469,0.0016666666666666668,9421.029657224117,5581062.960547138,,,,
2019-07-01,management,5706299.116170173,0.0016666666666666668,9510.498526950289,5581062.960547138,,,,
2019-07-01,performance,,0.25,28931.41427402082,,5696788.617643221,5581062.960547138,115725.65709608328,5667857.203369201
2019-08-01,management,5355971.032420757,0.0016666666666666668,8926.61838736793,5667857.203369201,,,,
2019-09-03,management,5058263.923858299,0.0016666666666666668,8430.439873097166,5667857.203369201,,,,
2019-10-01,management,5344866.98561077,0.0016666666666666668,8908.111642684617,5667857.203369201,,,,
2019-10-01,performance,,0.25,0.0,,5335958.873968085,5667857.203369201,0.0,5667857.203369201
2019-11-01,management,5738745.487914644,0.0016666666666666668,9564.575813191073,5667857.203369201,,,,
2019-12-02,management,5985060.375730576,0.0016666666666666668,9975.100626217627,5667857.203369201,,,,
